,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_tau_participant_raw[132],-0.534,0.481,-1.372,0.369,0.01,0.016,3683.0,1509.0,1.0
log_tau_participant_raw[133],-1.356,0.409,-2.156,-0.604,0.006,0.01,4133.0,2460.0,1.0
log_tau_participant_raw[134],-0.302,0.547,-1.194,0.718,0.012,0.017,3589.0,1671.0,1.0
log_tau_participant_raw[135],0.23,0.673,-0.919,1.473,0.011,0.012,5051.0,2399.0,1.0
log_tau_participant_raw[136],-1.089,0.356,-1.741,-0.44,0.005,0.01,5173.0,2451.0,1.0
log_tau_participant_raw[137],0.111,0.662,-0.949,1.376,0.012,0.013,4021.0,2251.0,1.0
log_tau_participant_raw[138],0.742,0.639,-0.365,1.902,0.009,0.011,6652.0,3074.0,1.0
log_tau_participant_raw[139],0.859,0.674,-0.294,2.153,0.009,0.011,6105.0,2680.0,1.0
log_tau_participant_raw[140],0.513,0.682,-0.554,1.853,0.011,0.014,4969.0,2562.0,1.0
log_tau_participant_raw[141],-0.491,0.631,-1.533,0.752,0.013,0.017,3584.0,1808.0,1.0
log_tau_participant_raw[142],-0.618,0.448,-1.381,0.275,0.009,0.013,3881.0,1423.0,1.01
log_tau_participant_raw[143],-1.457,0.397,-2.153,-0.653,0.006,0.008,4905.0,2925.0,1.0
log_tau_participant_raw[144],-0.799,0.422,-1.53,0.028,0.006,0.01,5416.0,2183.0,1.0
log_tau_participant_raw[145],-0.045,0.625,-1.078,1.163,0.012,0.014,4110.0,2438.0,1.0
log_tau_participant_raw[146],0.644,0.697,-0.556,1.949,0.01,0.013,5553.0,2410.0,1.0
log_tau_participant_raw[147],0.509,0.659,-0.498,1.802,0.011,0.013,4516.0,2642.0,1.0
log_tau_participant_raw[148],-1.26,0.373,-1.936,-0.542,0.006,0.006,4529.0,3069.0,1.0
log_tau_participant_raw[149],-0.334,0.519,-1.124,0.718,0.01,0.014,3739.0,2087.0,1.0
log_tau_participant_raw[150],0.035,0.569,-0.85,1.146,0.011,0.015,3813.0,1955.0,1.0
log_tau_participant_raw[151],0.95,0.636,-0.144,2.13,0.01,0.01,5109.0,2610.0,1.0
log_tau_participant_raw[152],0.77,0.699,-0.401,2.065,0.01,0.012,5786.0,2622.0,1.0
log_tau_participant_raw[153],0.921,0.64,-0.192,2.109,0.01,0.012,5824.0,2301.0,1.0
log_tau_participant_raw[154],-0.516,0.502,-1.309,0.411,0.011,0.017,3650.0,1461.0,1.01
log_tau_participant_raw[155],0.271,0.643,-0.713,1.556,0.012,0.013,3827.0,2000.0,1.0
log_tau_participant_raw[156],0.595,0.64,-0.485,1.789,0.011,0.013,4833.0,2470.0,1.0
log_tau_participant_raw[157],0.117,0.651,-0.875,1.447,0.012,0.014,3958.0,2311.0,1.0
log_tau_participant_raw[158],0.678,0.676,-0.451,1.97,0.01,0.012,5581.0,2614.0,1.0
log_tau_participant_raw[159],0.884,0.665,-0.313,2.121,0.009,0.012,6838.0,2896.0,1.0
