,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_tau_participant_raw[149],-0.237,0.516,-1.032,0.755,0.014,0.02,2500.0,1143.0,1.0
log_tau_participant_raw[150],-0.004,0.541,-0.841,1.049,0.013,0.016,2482.0,1502.0,1.0
log_tau_participant_raw[151],0.868,0.64,-0.186,2.088,0.011,0.011,3823.0,2260.0,1.0
log_tau_participant_raw[152],1.095,0.646,-0.017,2.305,0.01,0.011,4521.0,2276.0,1.0
log_tau_participant_raw[153],-0.593,0.452,-1.319,0.218,0.012,0.021,2636.0,972.0,1.0
log_tau_participant_raw[154],-0.046,0.555,-0.885,1.035,0.011,0.017,3508.0,2049.0,1.01
log_tau_participant_raw[155],0.476,0.66,-0.609,1.716,0.012,0.012,3657.0,2324.0,1.0
log_tau_participant_raw[156],1.061,0.651,-0.102,2.258,0.011,0.011,4406.0,2431.0,1.0
log_tau_participant_raw[157],0.673,0.64,-0.375,1.929,0.011,0.012,3793.0,2554.0,1.01
log_tau_participant_raw[158],0.864,0.669,-0.251,2.164,0.011,0.012,4047.0,2234.0,1.0
log_tau_participant_raw[159],0.73,0.647,-0.322,2.021,0.011,0.012,4220.0,2590.0,1.0
log_tau_participant_raw[160],0.527,0.691,-0.608,1.88,0.013,0.013,3166.0,2327.0,1.0
log_tau_participant_raw[161],0.328,0.655,-0.771,1.569,0.012,0.012,3554.0,2493.0,1.0
log_tau_participant_raw[162],-0.413,0.475,-1.223,0.444,0.011,0.016,2511.0,1647.0,1.0
log_tau_participant_raw[163],0.476,0.628,-0.55,1.624,0.011,0.012,4007.0,2618.0,1.0
log_tau_participant_raw[164],0.197,0.566,-0.656,1.315,0.012,0.013,3043.0,2229.0,1.0
log_tau_participant_raw[165],0.238,0.575,-0.646,1.342,0.012,0.014,3504.0,1901.0,1.0
log_tau_participant_raw[166],-0.556,0.402,-1.23,0.21,0.01,0.015,3079.0,1138.0,1.01
log_tau_participant_raw[167],-0.118,0.511,-0.949,0.836,0.012,0.017,3045.0,1474.0,1.0
log_tau_participant_raw[168],0.893,0.672,-0.345,2.127,0.012,0.012,3843.0,2189.0,1.0
log_tau_participant_raw[169],0.829,0.68,-0.398,2.058,0.012,0.012,3914.0,2122.0,1.0
log_tau_participant_raw[170],-0.208,0.522,-0.995,0.817,0.012,0.016,3018.0,1686.0,1.0
log_tau_participant_raw[171],0.694,0.631,-0.32,1.938,0.012,0.013,3421.0,2224.0,1.0
log_tau_participant_raw[172],0.899,0.665,-0.254,2.164,0.012,0.012,3394.0,2338.0,1.0
log_tau_participant_raw[173],0.477,0.665,-0.615,1.689,0.013,0.013,3905.0,2064.0,1.0
log_tau_participant_raw[174],-0.406,0.41,-1.092,0.348,0.009,0.015,3180.0,1522.0,1.0
log_tau_participant_raw[175],-0.294,0.449,-1.056,0.492,0.012,0.018,2267.0,1294.0,1.0
